x,y,intensity,area
1.486903e+03,1.731499e+03,nan,nan
1.452767e+03,1.731894e+03,nan,nan
1.625041e+03,1.733773e+03,nan,nan
1.773014e+03,1.745834e+03,nan,nan
1.196431e+03,1.755769e+03,nan,nan
1.394367e+03,1.751351e+03,nan,nan
1.842005e+03,1.755873e+03,nan,nan
1.912639e+03,1.752921e+03,nan,nan
1.260273e+03,1.758277e+03,nan,nan
1.673820e+03,1.779921e+03,nan,nan
1.734956e+03,1.779949e+03,nan,nan
1.554178e+03,1.783689e+03,nan,nan
1.606681e+03,1.787525e+03,nan,nan
1.943340e+03,1.794063e+03,nan,nan
1.308833e+03,1.793496e+03,nan,nan
1.443370e+03,1.800087e+03,nan,nan
1.154759e+03,1.803889e+03,nan,nan
1.770785e+03,1.818019e+03,nan,nan
1.505873e+03,1.842063e+03,nan,nan
1.674601e+03,1.842171e+03,nan,nan
1.898147e+03,1.836531e+03,nan,nan
1.588266e+03,1.850727e+03,nan,nan
1.748078e+03,1.864364e+03,nan,nan
1.901692e+03,1.885032e+03,nan,nan
1.429964e+03,1.880411e+03,nan,nan
1.953969e+03,1.913859e+03,nan,nan
1.634349e+03,1.921141e+03,nan,nan
1.307081e+03,1.912637e+03,nan,nan
1.092695e+03,1.937168e+03,nan,nan
1.231384e+03,1.925314e+03,nan,nan
1.442013e+03,1.942470e+03,nan,nan
1.729735e+03,1.938115e+03,nan,nan
1.279171e+03,1.964495e+03,nan,nan
1.373647e+03,1.941325e+03,nan,nan
1.977643e+03,1.973777e+03,nan,nan
2.322808e+03,1.868171e+02,nan,nan
2.088160e+03,2.457492e+02,nan,nan
2.079164e+03,3.053394e+02,nan,nan
2.321230e+03,2.928414e+02,nan,nan
2.020341e+03,2.965295e+02,nan,nan
3.633813e+03,3.026347e+02,nan,nan
2.514980e+03,3.273887e+02,nan,nan
2.572861e+03,3.346400e+02,nan,nan
1.997509e+03,3.506084e+02,nan,nan
2.140655e+03,3.358659e+02,nan,nan
2.329161e+03,3.603418e+02,nan,nan
2.193272e+03,3.582953e+02,nan,nan
3.585010e+03,3.795305e+02,nan,nan
2.262011e+03,3.874792e+02,nan,nan
2.098461e+03,3.876952e+02,nan,nan
3.641319e+03,3.995134e+02,nan,nan
2.156750e+03,4.127406e+02,nan,nan
3.462763e+03,3.948638e+02,nan,nan
3.350370e+03,4.054741e+02,nan,nan
3.767497e+03,4.160396e+02,nan,nan
2.467290e+03,4.112476e+02,nan,nan
2.366301e+03,4.128534e+02,nan,nan
3.277346e+03,4.320187e+02,nan,nan
2.073163e+03,4.261023e+02,nan,nan
2.269095e+03,4.482810e+02,nan,nan
3.811158e+03,4.521575e+02,nan,nan
3.697435e+03,4.598582e+02,nan,nan
2.591377e+03,4.713928e+02,nan,nan
2.330703e+03,4.662324e+02,nan,nan
2.415389e+03,4.691937e+02,nan,nan
3.004868e+03,4.676317e+02,nan,nan
2.070607e+03,4.721539e+02,nan,nan
2.173090e+03,4.812245e+02,nan,nan
2.241753e+03,4.841570e+02,nan,nan
3.816907e+03,5.041456e+02,nan,nan
2.651282e+03,5.007938e+02,nan,nan
3.748009e+03,5.147763e+02,nan,nan
