"","x","y","intensity","area","id","color","acronym","right.left","rostral.caudal","anterior.posterior"
"14026",5678.87,4653.1875,1201.5,1201.5,19,"#225ea8","LV",361.705051275047,405.027624189712,295
"14027",5251.485,4654.998,829,829,19,"#225ea8","LV",323.560704111723,361.28801571296,295
"14028",5459.905,4659.9185,1469.5,1469.5,19,"#225ea8","LV",351.128574457529,391.764765105831,295
"14029",5330.56,4661.516,3124,3124,19,"#225ea8","LV",338.837676869682,377.566502047366,295
"14030",5704.85,4662.7935,974.5,974.5,19,"#225ea8","LV",362.391053030562,406.189878419235,295
"14031",5224.505,4669.781,2542.5,2542.5,19,"#225ea8","LV",314.47073801402,352.70101165636,295
"14032",5491.13,4668.932,1040.5,1040.5,19,"#225ea8","LV",352.753501723565,394.114034297008,295
"14033",5430.415,4670.7035,1214,1214,19,"#225ea8","LV",348.830351584035,389.483456898145,295
"14034",5041.405,4672.265,1995.5,1995.5,19,"#225ea8","LV",280.401655257623,321.416857097702,295
"14035",5083.985,4673.858,2824.5,2824.5,19,"#225ea8","LV",284.929325963225,325.442985166942,295
"14036",5401.49,4673.889,1615.5,1615.5,19,"#225ea8","LV",346.159669155917,386.326121908884,295
"14037",5683.075,4675.2605,1170.5,1170.5,19,"#225ea8","LV",361.277619513548,405.105834137241,295
"14038",5372.79,4676.1365,2797.5,2797.5,19,"#225ea8","LV",343.278239197634,382.980232993819,295
"14039",5462.995,4687.316,2493,2493,19,"#225ea8","LV",350.559756529438,392.289882445526,295
"14040",5554.355,4680.606,3658,3658,19,"#225ea8","LV",355.693359676466,398.168056376044,295
"14041",5522.785,4687.433,2269.5,2269.5,19,"#225ea8","LV",353.721072338692,395.758005508299,295
"14042",5653.135,4680.8505,2676,2676,19,"#225ea8","LV",359.995433669233,403.896638390474,295
"14043",5161.085,4684.385,4265.5,4265.5,19,"#225ea8","LV",297.062387978948,336.787152624072,295
"14044",5731.08,4679.6965,3507,3507,19,"#225ea8","LV",362.719454790009,407.489374591236,295
"14045",5430.83,4692.5535,1349,1349,19,"#225ea8","LV",347.857307215227,389.028926678645,295
"14046",5022.815,4684.909,1088,1088,19,"#225ea8","LV",277.76057165058,319.43927325809,295
"14047",5780.415,4682.9635,4381,4381,19,"#225ea8","LV",364.160546907601,409.327988580222,295
"14048",5198.55,4687.6795,4288.5,4288.5,19,"#225ea8","LV",305.394589701042,344.624863210365,295
"14049",5339.805,4693.8585,1761,1761,19,"#225ea8","LV",338.775179943805,378.504048159215,295
"14050",5247.945,4690.7125,1803.5,1803.5,19,"#225ea8","LV",318.036069624613,356.769182736726,295
